,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Jerod Mayo,NWE,24,LB,16,16,0,0,0,0,5,1,0,3,-2,0,2.0,175,114,61,5,5,
2,Stephen Tulloch,TEN,25,MLB,16,16,1,18,0,18,6,0,0,1,0,0,1.0,160,111,49,6,5,
3,Chad Greenway,MIN,27,LB,16,16,0,0,0,0,3,1,0,1,0,0,1.0,144,109,35,14,5,
4,Paul Posluszny,BUF,26,LB/mlb,14,14,0,0,0,0,4,,,,,,2.0,151,103,48,6,4,
5,Ray Lewis,BAL,35,MLB,16,16,2,26,1,24,4,2,0,3,1,0,2.0,139,102,37,4,4,
6,James Anderson,CAR,27,LB,16,15,1,1,0,1,5,2,0,3,2,0,3.5,130,101,29,13,7,
7,Patrick Willis,SFO,25,MLB,15,15,0,0,0,0,5,2,0,0,0,0,6.0,128,101,27,9,7,
8,James Laurinaitis,STL,24,MLB,16,16,1,4,0,4,5,0,0,1,0,0,3.0,114,98,16,13,7,
9,Lawrence Timmons,PIT,24,RILB,16,15,2,5,0,5,9,2,0,2,0,0,3.0,135,96,39,10,8,
10,Brian Urlacher,CHI,32,MLB,16,16,1,0,0,0,10,1,0,2,0,0,4.0,125,96,29,13,5,
11,Donte Whitner,BUF,25,SS,16,16,1,37,0,37,7,1,0,1,0,0,0.5,140,96,44,1,1,
12,Derrick Johnson,KAN,28,RILB,16,16,1,15,1,15,16,3,0,1,0,0,1.0,121,95,26,8,1,
13,Paris Lenon,ARI,33,LB,16,16,2,12,0,10,6,1,0,0,0,0,2.0,125,94,31,12,3,
14,D.J. Williams,DEN,28,LB,16,15,0,0,0,0,9,1,0,1,0,0,5.5,119,94,25,9,9,
15,Curtis Lofton,ATL,24,MLB,16,16,1,2,0,2,3,3,0,0,0,0,2.0,117,92,25,4,3,
16,Jon Beason,CAR,25,LB/MLB,16,16,1,7,0,7,8,2,0,0,0,0,1.0,121,90,31,10,2,
17,Craig Dahl,STL,25,SS,15,13,2,23,0,23,6,1,0,1,0,0,1.0,98,87,11,6,2,
18,London Fletcher,WAS,35,LB,16,16,1,0,0,0,11,3,0,3,-3,0,2.5,136,87,49,4,4,
19,Chris Hope,TEN,30,SS,16,16,1,32,0,32,5,1,0,1,0,0,1.0,101,87,14,6,1,
20,Michael Griffin,TEN,25,FS,16,16,4,50,0,28,12,2,0,2,20,0,,108,86,22,2,4,
21,Dhani Jones,CIN,32,lb/MLB,16,16,0,0,0,0,2,1,0,0,0,0,1.0,125,86,39,3,1,
22,Dawan Landry,BAL,28,SS,16,16,0,23,1,23,4,1,0,1,0,0,1.0,111,86,25,2,4,
23,Barrett Ruud,TAM,27,MLB,16,16,1,1,0,1,4,2,0,0,0,0,2.0,118,85,33,4,3,
24,Yeremiah Bell,MIA,32,fs/SS,16,16,1,21,0,21,5,2,0,1,4,0,1.5,101,83,18,4,3,
25,Cortland Finnegan,TEN,26,CB/rcb,16,16,2,41,1,41,9,1,0,0,0,0,1.0,100,82,18,4,1,
26,Takeo Spikes,SFO,34,LB,16,16,3,9,0,6,9,0,0,1,8,0,,109,82,27,3,2,
27,Bradie James,DAL,29,LB,16,16,1,11,0,11,3,2,0,2,0,0,,118,81,37,4,2,
28,Bernard Pollard,HOU,26,SS,15,15,0,0,0,0,5,3,0,0,0,0,2.5,111,81,30,3,4,
29,Terrell Thomas,NYG,25,RCB,16,16,5,56,0,28,21,4,0,2,0,0,1.0,101,81,20,3,2,
30,Kevin Burnett,SDG,28,LB,16,16,2,31,1,29,5,1,0,1,0,0,6.0,95,80,15,12,7,
31,James Farrior,PIT,35,LILB/mlb,16,16,0,0,0,0,5,1,0,1,8,0,6.0,109,80,29,11,8,
32,T.J. Ward,CLE,24,S,16,16,2,39,0,23,10,1,0,0,0,0,,108,80,28,4,0,
33,Eric Weddle,SDG,25,FS/ss,16,16,2,64,1,41,10,,,,,,0.5,96,80,16,4,1,
34,Greg Toler,ARI,25,RCB,14,13,2,66,1,66,9,2,0,2,0,0,1.0,87,79,8,2,1,
35,Tyvon Branch,OAK,24,s/SS,16,16,1,15,0,15,2,1,0,2,76,1,4.0,101,78,23,11,6,
36,Karlos Dansby,MIA,29,LB,14,13,0,0,0,0,4,2,0,0,0,0,3.0,95,78,17,7,4,
37,Kerry Rhodes,ARI,28,FS,16,16,4,174,0,66,12,0,1,4,69,2,1.0,90,78,12,3,4,
38,Alterraun Verner,TEN,22,CB/lcb,16,12,3,41,0,19,11,1,0,2,0,0,,94,78,16,1,0,
39,Antoine Bethea,IND,26,FS,16,16,1,31,0,31,5,1,0,0,0,0,0.5,106,77,29,1,5,
40,Michael Huff,OAK,27,FS/s,16,15,3,32,0,17,7,2,0,0,0,0,4.0,94,77,17,7,4,
41,Quintin Mikell,PHI,30,db/SS,15,15,3,0,0,0,15,1,0,3,52,1,1.0,88,77,11,5,1,
42,Terence Newman,DAL,32,LCB,16,16,5,16,0,30,9,0,0,1,1,0,,79,77,2,2,0,
43,Lance Briggs,CHI,30,LB,15,15,2,1,0,1,7,1,0,1,0,0,2.0,89,76,13,8,2,
44,Brent Grimes,ATL,27,LCB,16,16,5,84,0,36,23,,,,,,,87,76,11,2,0,
45,Roman Harper,NOR,28,SS,15,15,1,6,0,6,8,6,0,1,0,0,3.0,98,76,22,5,10,
46,Adrian Wilson,ARI,31,SS,16,16,2,4,0,4,9,,,,,,2.0,88,76,12,6,6,
47,Charles Woodson,GNB,34,cb/LCB,16,16,2,48,1,48,13,5,0,0,0,0,2.0,92,76,16,7,6,
48,Desmond Bishop,GNB,26,MLB,15,12,1,32,1,32,8,2,0,0,0,0,3.0,103,75,28,3,5,
49,Mario Haggan,DEN,30,LB,16,16,0,0,0,0,1,2,0,1,0,0,5.0,87,75,12,10,12,
50,David Hawthorne,SEA,25,LB,16,16,1,5,0,5,4,2,0,1,0,0,,106,75,31,3,1,
51,Antrel Rolle,NYG,28,FS,16,16,1,36,0,36,4,1,0,2,-3,0,0.5,87,75,12,7,8,
52,Daryl Smith,JAX,28,LB,16,16,1,8,0,8,5,1,0,0,0,0,3.5,97,75,22,9,9,
53,Richard Marshall,CAR,26,RCB,16,16,3,91,0,66,7,1,0,1,0,0,1.0,88,74,14,3,3,
54,Bryant McFadden,PIT,29,LCB/rcb,16,16,2,-3,0,0,10,2,0,0,0,0,2.0,81,74,7,1,2,
55,Keith Brooking,DAL,35,LB,16,16,1,41,0,41,7,,,,,,1.0,97,73,24,4,4,
56,Geno Hayes,TAM,23,LB,16,16,1,41,1,41,6,1,0,0,0,0,4.0,83,73,10,16,6,
57,Rocky McIntosh,WAS,28,LB,15,15,0,0,0,0,3,1,0,0,0,0,2.0,110,73,37,2,4,
58,Antoine Winfield,MIN,33,LCB,16,16,2,41,0,41,5,1,0,1,45,1,2.0,91,73,18,3,1,
59,Eric Berry,KAN,22,SS,16,16,4,102,1,54,9,1,0,0,0,0,2.0,87,72,15,5,6,
60,Nate Clements,SFO,31,RCB,16,16,3,46,0,39,10,3,1,0,0,0,1.0,82,72,10,8,1,
61,A.J. Hawk,GNB,26,LB,16,15,3,31,0,21,10,0,0,1,0,0,0.5,111,72,39,4,4,
62,E.J. Henderson,MIN,30,MLB,16,16,3,10,0,10,4,1,0,1,0,0,1.0,105,71,34,7,3,
63,Glover Quin,HOU,24,LCB,16,16,3,12,0,10,14,1,0,2,3,0,,85,71,14,3,1,
64,Charles Tillman,CHI,29,RCB,16,16,5,127,0,56,14,4,0,3,-8,0,,82,71,11,1,1,
65,Jonathan Vilma,NOR,28,MLB,16,16,1,5,0,5,3,3,0,1,0,0,4.0,105,71,34,6,9,
66,James Harrison,PIT,32,ROLB,16,16,2,2,0,2,5,6,0,1,0,0,10.5,100,70,30,13,21,
67,Charles Godfrey,CAR,25,SS,16,16,5,112,0,38,8,1,0,0,0,0,,83,69,14,3,4,
68,David Harris,NYJ,26,MLB,16,16,0,0,0,0,3,0,0,1,0,0,3.0,99,69,30,6,7,
69,Patrick Chung,NWE,23,fs/S,14,13,3,96,1,51,9,,,,,,,91,67,24,4,1,
70,Ronde Barber,TAM,35,RCB,16,16,3,98,0,64,13,,,,,,1.0,82,66,16,10,5,
71,LaRon Landry,WAS,26,SS,9,9,1,0,0,0,8,1,0,1,0,0,1.0,85,66,19,6,6,
72,Abram Elam,CLE,29,S,16,15,2,18,0,18,10,2,0,2,18,1,2.0,79,65,14,3,2,
73,DeAngelo Hall,WAS,27,LCB,16,16,6,92,1,92,16,2,0,2,32,1,,95,65,30,4,0,
