,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,D'Qwell Jackson,CLE,28,MLB,16,16,1,24,0,24,3,1,0,3,1,0,3.5,158,116,42,12,8,
2,NaVorro Bowman,SFO,23,LB,16,16,0,0,0,0,8,0,0,3,0,0,2.0,143,111,32,13,6,
3,James Laurinaitis,STL,25,MLB,16,16,2,15,0,15,7,0,0,1,0,0,3.0,142,105,37,11,5,
4,Derrick Johnson,KAN,29,RILB,16,16,2,18,0,17,9,1,0,1,0,0,2.0,131,104,27,10,3,
5,James Anderson,CAR,28,LB,16,16,2,5,0,5,9,0,0,3,0,0,1.5,145,98,47,9,2,
6,London Fletcher,WAS,36,MLB,16,16,2,0,0,0,8,2,0,0,0,0,1.5,166,96,70,5,8,
7,Curtis Lofton,ATL,25,MLB,16,16,2,30,1,26,7,1,0,1,0,0,1.0,159,96,63,9,3,
8,Daryl Washington,ARI,25,LB,15,14,2,16,0,16,7,,,,,,5.0,106,94,12,16,7,
9,Desmond Bishop,GNB,27,MLB,13,13,0,0,0,0,1,2,0,0,0,0,5.0,115,90,25,10,8,
10,Chad Greenway,MIN,28,LB,16,16,0,0,0,0,3,0,0,1,0,0,2.0,154,89,65,6,4,
11,Karlos Dansby,MIA,30,LB,16,16,1,14,0,14,4,2,0,0,0,0,2.0,103,88,15,10,8,
12,Lance Briggs,CHI,31,LB,16,16,1,0,0,0,4,2,0,0,0,0,,105,86,19,9,1,
13,Sean Weatherspoon,ATL,24,LB,16,16,0,0,0,0,8,0,0,1,0,0,4.0,125,86,39,14,5,
14,Jason McCourty,TEN,24,CB/lcb,15,15,2,52,0,30,13,1,0,1,0,0,1.0,105,85,20,1,1,
15,Kevin Burnett,MIA,29,LB,16,16,1,34,1,34,3,,,,,,2.5,106,84,22,10,4,
16,Stephen Tulloch,DET,26,MLB,16,16,2,9,0,9,5,1,0,3,4,1,3.0,111,84,27,8,7,
17,Brian Urlacher,CHI,33,MLB,16,16,3,7,0,8,7,0,0,2,29,1,,102,84,18,9,0,
18,Antrel Rolle,NYG,29,FS,16,16,2,-1,0,0,4,1,0,0,0,0,,96,82,14,2,0,
19,Charles Tillman,CHI,30,RCB,16,16,3,66,2,44,12,3,0,2,4,0,1.0,99,82,17,5,1,
20,Yeremiah Bell,MIA,33,SS,16,16,1,20,0,20,4,0,0,1,0,0,2.0,107,81,26,2,4,
21,Brian Cushing,HOU,24,LB/mlb,16,16,2,5,0,5,5,2,0,0,0,0,4.0,125,81,44,8,13,
22,Antoine Bethea,IND,27,FS,16,16,0,0,0,0,7,2,0,1,0,0,,139,80,59,2,1,
23,Aaron Curry,2TM,25,,16,11,0,0,0,0,5,0,0,4,12,2,,114,80,34,5,3,
24,E.J. Henderson,MIN,31,LB/mlb,16,14,0,0,0,0,3,3,0,0,0,0,2.0,109,80,29,8,4,
25,Rolando McClain,OAK,22,lb/MLB,15,14,0,0,0,0,14,,,,,,5.0,100,79,21,8,8,1
26,Nick Barnett,BUF,30,LB/mlb,16,16,3,80,1,33,5,1,0,0,0,0,3.0,130,78,52,9,4,
27,Tyvon Branch,OAK,25,SS,16,16,1,0,0,0,4,0,0,1,0,0,1.0,107,78,29,3,1,
28,Morgan Burnett,GNB,22,FS/ss,16,16,3,0,0,0,11,2,0,2,25,0,1.0,109,78,31,1,2,
29,George Wilson,BUF,30,SS,13,13,4,26,0,12,6,2,0,1,0,0,,106,78,28,2,1,
30,Pat Angerer,IND,24,lb/MLB,16,16,1,0,0,0,3,2,0,1,10,0,1.0,146,76,70,9,4,
31,Sean Jones,TAM,29,SS,16,16,0,0,0,0,3,1,0,2,0,0,1.0,92,76,16,3,2,
32,Donald Butler,SDG,23,LB,16,16,1,2,0,2,2,2,0,1,37,1,2.0,94,75,19,10,4,
33,Jairus Byrd,BUF,25,FS,16,16,3,88,1,37,8,3,0,1,0,0,1.0,98,75,23,5,1,
34,Quintin Mikell,STL,31,FS,16,16,2,11,0,11,5,5,0,1,14,0,1.0,91,75,16,3,2,
35,Michael Boley,NYG,29,LB,14,13,0,0,0,0,3,1,0,3,78,1,1.0,93,74,19,4,2,
36,Daryl Smith,JAX,29,LB,16,16,1,25,0,25,8,2,0,0,0,0,3.5,107,74,33,7,11,
37,Patrick Willis,SFO,26,LB,13,13,1,10,0,10,12,4,0,2,0,0,2.0,97,74,23,7,4,
38,Kam Chancellor,SEA,23,SS,15,15,4,27,0,9,13,2,0,1,0,0,1.0,95,73,22,3,1,
39,Thomas DeCoud,ATL,26,fs/S,16,15,4,77,0,49,6,,,,,,,92,73,19,2,2,
40,Roman Harper,NOR,29,SS,16,16,0,0,0,0,7,3,0,1,0,0,7.5,95,73,22,9,13,
41,David Hawthorne,SEA,26,MLB,15,14,3,111,1,77,6,0,0,1,9,0,2.0,115,73,42,9,2,
42,DeAndre Levy,DET,24,LB,16,16,1,7,0,7,1,1,0,0,0,0,1.0,109,73,36,9,2,
43,Jordan Babineaux,TEN,29,SS,16,14,1,97,1,97,7,1,0,1,0,0,,93,72,21,2,1,
44,Ray Lewis,BAL,36,MLB,12,12,1,4,0,4,7,2,0,0,0,0,2.0,95,72,23,3,4,
45,Jason Pierre-Paul,NYG,22,DE,16,12,0,0,0,0,7,2,0,0,0,0,16.5,93,72,21,23,28,1
46,Ryan Clark,PIT,32,FS,16,16,1,10,0,10,5,,,,,,1.0,100,71,29,5,1,
47,Dawan Landry,JAX,29,S,16,16,2,28,0,28,4,1,0,1,0,0,0.5,97,71,26,1,2,
48,Malcolm Jenkins,NOR,24,FS,15,15,0,0,0,0,9,1,0,1,30,1,1.0,84,70,14,0,4,
49,Eric Weddle,SDG,26,FS,16,16,7,89,0,26,11,,,,,,,88,70,18,3,2,
50,D.J. Williams,DEN,29,LB,13,13,0,0,0,0,2,2,0,1,0,0,5.0,90,70,20,8,6,
51,Tim Jennings,CHI,28,LCB,16,15,2,2,0,1,10,1,0,1,0,0,,77,69,8,4,0,
52,Sean Lee,DAL,25,LB,15,15,4,87,0,37,7,0,0,1,0,0,,103,69,34,10,3,
53,Richard Marshall,ARI,27,LCB,16,9,3,83,0,49,11,,,,,,2.0,78,69,9,5,2,
54,Paul Posluszny,JAX,27,MLB,16,16,2,2,0,2,9,1,0,0,0,0,2.0,119,69,50,5,8,
55,Earl Thomas,SEA,22,FS,16,16,2,19,0,11,7,1,0,2,0,0,,98,69,29,6,1,
56,LeRoy Hill,SEA,29,LB,16,16,,,,,,1,0,0,0,0,4.0,89,68,21,8,5,
57,Lawrence Timmons,PIT,25,RILB/rolb,16,16,1,0,0,0,5,1,0,0,0,0,2.0,93,68,25,5,6,
58,Ronde Barber,TAM,36,RCB,16,16,3,12,0,12,9,1,0,1,0,0,1.0,79,67,12,6,1,1
59,Jamar Chaney,PHI,25,lb/MLB,16,16,3,25,0,14,8,,,,,,1.0,91,67,24,4,1,
60,Joe Mays,DEN,26,MLB,16,12,0,0,0,0,2,,,,,,,83,67,16,8,3,
61,Eric Wright,DET,26,lcb/RCB,16,16,4,49,0,22,16,1,0,0,0,0,,74,67,7,3,0,
62,Kyle Arrington,NWE,25,RCB,16,14,7,92,0,28,15,0,0,1,0,0,,88,66,22,1,0,
63,Devin McCourty,NWE,24,cb/LCB,14,14,2,38,0,38,13,,,,,,,90,66,24,5,0,
64,Eric Smith,NYJ,28,S,16,14,1,2,0,2,4,0,0,1,0,0,2.5,89,66,23,5,3,
65,DeAngelo Hall,WAS,28,LCB,16,16,3,46,0,26,16,1,0,0,0,0,,90,65,25,3,1,
66,David Harris,NYJ,27,lb/MLB,16,16,4,55,1,35,8,,,,,,5.0,86,65,21,8,12,
67,Charlie Peprah,GNB,28,SS,16,14,5,147,1,76,10,1,0,0,0,0,,94,65,29,3,0,
68,Amari Spievey,DET,23,SS,15,15,3,47,0,30,4,0,0,1,0,0,1.0,75,65,10,0,2,
69,Thomas Howard,CIN,28,LB,16,15,0,0,0,0,4,2,0,1,0,0,1.0,99,64,35,7,4,
70,Paris Lenon,ARI,34,LB,16,16,0,0,0,0,3,0,0,1,0,0,3.0,93,64,29,5,5,
71,Troy Polamalu,PIT,30,SS,16,16,2,33,0,33,14,0,0,1,16,1,1.0,91,64,27,7,4,
72,Takeo Spikes,SDG,35,LB,16,16,1,45,0,45,3,,,,,,1.0,106,64,42,5,1,
73,Kenny Phillips,NYG,25,rcb/SS,15,15,4,50,0,31,11,1,0,0,0,0,,86,63,23,1,2,
74,Cary Williams,BAL,27,RCB,16,16,0,0,0,0,18,2,0,0,0,0,,84,63,21,1,0,
75,Charles Godfrey,CAR,26,SS,14,14,2,30,0,21,7,1,0,0,0,0,1.0,80,62,18,0,1,
76,Mathias Kiwanuka,NYG,28,LB,16,15,1,9,0,9,2,1,0,1,0,0,3.5,84,62,22,14,9,
77,Charles Woodson,GNB,35,LCB,15,15,7,63,1,30,17,1,0,1,-1,0,2.0,74,62,12,4,3,
