,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Shaun Alexander,SEA,28,RB,16,16,370,1880,27,88,5.1,117.5,5
2,Edgerrin James,IND,27,RB,15,15,360,1506,13,33,4.2,100.4,2
3,Tiki Barber,NYG,30,RB,16,16,357,1860,9,95,5.2,116.3,1
4,Clinton Portis,WAS,24,RB,16,16,352,1516,11,47,4.3,94.8,3
5,LaDainian Tomlinson,SDG,26,RB,16,16,339,1462,18,62,4.3,91.4,3
6,Rudi Johnson,CIN,26,RB,16,14,337,1458,12,33,4.3,91.1,1
7,Larry Johnson,KAN,26,RB,16,9,336,1750,20,49,5.2,109.4,5
8,Willis McGahee,BUF,24,RB,16,15,325,1247,5,27,3.8,77.9,1
9,Thomas Jones,CHI,27,RB,15,15,314,1335,9,42,4.3,89.0,2
10,Reuben Droughns,CLE,27,RB,16,16,309,1232,2,75,4.0,77.0,6
11,Cadillac Williams,TAM,23,RB,14,14,290,1178,6,71,4.1,84.1,3
12,Warrick Dunn,ATL,30,RB,16,16,280,1416,3,65,5.1,88.5,3
13,LaMont Jordan,OAK,27,RB,14,14,272,1025,9,26,3.8,73.2,2
14,Jamal Lewis,BAL,26,RB,15,15,269,906,3,25,3.4,60.4,5
15,Julius Jones,DAL,24,RB,13,12,257,993,5,51,3.9,76.4,4
16,Willie Parker,PIT,25,RB,15,15,255,1202,4,80,4.7,80.1,4
17,Steven Jackson,STL,22,RB,15,15,254,1046,8,51,4.1,69.7,3
18,Mike Anderson,DEN,32,,15,15,239,1014,12,44,4.2,67.6,2
19,Domanick Williams,HOU,25,RB,11,11,230,976,2,44,4.2,88.7,2
20,Chris Brown,TEN,24,RB,15,14,224,851,5,38,3.8,56.7,4
21,Curtis Martin,NYJ,32,RB,12,12,220,735,5,49,3.3,61.3,2
22,Corey Dillon,NWE,31,RB,12,10,209,733,12,29,3.5,61.1,1
23,Ronnie Brown,MIA,24,RB,15,14,207,907,4,65,4.4,60.5,4
24,DeShaun Foster,CAR,25,fb/rb,15,5,205,879,2,70,4.3,58.6,2
25,Fred Taylor,JAX,29,RB,11,11,194,787,3,71,4.1,71.5,0
26,Kevin Jones,DET,23,RB,13,13,186,664,5,40,3.6,51.1,2
27,Stephen Davis,CAR,31,RB,13,11,180,549,12,39,3.1,42.2,2
28,Kevan Barlow,SFO,26,RB,12,12,176,581,3,29,3.3,48.4,2
29,Tatum Bell,DEN,24,rb,15,1,173,921,8,68,5.3,61.4,3
30,Ricky Williams,MIA,28,rb,12,3,168,743,6,35,4.4,61.9,1
31,Antowain Smith,NOR,33,rb,16,7,166,659,3,42,4.0,41.2,2
32,Marcel Shipp,ARI,27,RB,15,11,157,451,0,19,2.9,30.1,4
33,Brian Westbrook,PHI,26,RB,12,12,156,617,3,31,4.0,51.4,0
34,Mewelde Moore,MIN,23,RB,16,8,155,662,1,33,4.3,41.4,2
35,Greg Jones,JAX,24,FB/rb,14,13,151,575,4,27,3.8,41.1,0
36,Samkon Gado,GNB,23,rb,8,5,143,582,6,64,4.1,72.8,4
37,Marion Barber,DAL,22,rb,13,2,138,538,5,28,3.9,41.4,3
38,Frank Gore,SFO,22,rb,14,1,127,608,3,72,4.8,43.4,2
39,Michael Bennett,MIN,27,rb,16,6,126,473,3,61,3.8,29.6,5
40,T.J. Duckett.00,ATL,24,,14,0,121,380,8,25,3.1,27.1,2
41,Priest Holmes,KAN,32,rb,7,7,119,451,6,35,3.8,64.4,1
42,Chester Taylor,BAL,26,rb,15,1,117,487,0,52,4.2,32.5,3
43,J.J. Arrington.00,ARI,22,rb,15,5,112,370,2,32,3.3,24.7,1
44,Jerome Bettis,PIT,33,,12,0,110,368,9,39,3.3,30.7,0
45,Artose Pinner,DET,27,rb,16,2,106,349,3,19,3.3,21.8,0
46,Michael Vick,ATL,25,QB,15,15,102,597,6,32,5.9,39.8,11
