Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Larry Fitzgerald,ARI,22,WR,16,16,165,103,62.4%,1409,13.7,10,47,6.4,88.1,0
2,Steve Smith,CAR,26,WR,16,16,150,103,68.7%,1563,15.2,12,80,6.4,97.7,2
3,Anquan Boldin,ARI,25,WR,14,14,171,102,59.6%,1402,13.7,7,54,7.3,100.1,2
4,Torry Holt,STL,29,WR,14,14,163,102,62.6%,1331,13.0,9,44,7.3,95.1,2
5,Chad Johnson,CIN,27,WR,16,16,155,97,62.6%,1432,14.8,9,70,6.1,89.5,1
6,Antonio Gates,SDG,25,TE,15,15,140,89,63.6%,1101,12.4,10,38,5.9,73.4,0
7,Donald Driver,GNB,30,WR,16,16,146,86,58.9%,1221,14.2,5,59,5.4,76.3,0
8,Derrick Mason,BAL,31,WR,16,16,137,86,62.8%,1073,12.5,3,39,5.4,67.1,1
9,Rod Smith,DEN,35,WR,16,16,126,85,67.5%,1105,13.0,6,72,5.3,69.1,2
10,Santana Moss,WAS,26,WR,16,16,134,84,62.7%,1483,17.7,9,78,5.3,92.7,3
11,Joey Galloway,TAM,34,WR,16,16,152,83,54.6%,1287,15.5,10,80,5.2,80.4,0
12,Reggie Wayne,IND,27,WR,16,16,122,83,68.0%,1055,12.7,5,66,5.2,65.9,1
13,Chris Chambers,MIA,27,WR,16,16,166,82,49.4%,1118,13.6,11,77,5.1,69.9,5
14,Marvin Harrison,IND,33,WR,15,15,134,82,61.2%,1146,14.0,12,80,5.5,76.4,0
15,Eric Moulds,BUF,32,WR,15,15,129,81,62.8%,816,10.1,4,55,5.4,54.4,0
16,Deion Branch,NWE,26,WR,16,15,125,78,62.4%,998,12.8,5,51,4.9,62.4,0
17,Tony Gonzalez,KAN,29,TE,16,16,116,78,67.2%,905,11.6,2,39,4.9,56.6,0
18,T.J. Houshmandzadeh,CIN,28,WR,14,12,115,78,67.8%,956,12.3,7,43,5.6,68.3,1
19,Plaxico Burress,NYG,28,WR,16,15,166,76,45.8%,1214,16.0,7,78,4.8,75.9,1
20,Jerry Porter,OAK,27,WR,16,14,142,76,53.5%,942,12.4,5,49,4.8,58.9,1
21,Todd Heap,BAL,25,TE,16,16,114,75,65.8%,855,11.4,7,48,4.7,53.4,2
22,Laveranues Coles,NYJ,28,SE/WR,16,16,132,73,55.3%,845,11.6,5,43,4.6,52.8,1
23,Chris Cooley,WAS,23,RB,16,16,103,71,68.9%,774,10.9,7,32,4.4,48.4,3
24,Keyshawn Johnson,DAL,33,WR,16,14,123,71,57.7%,839,11.8,6,34,4.4,52.4,3
